Full Date,Date ID,Year,Quarter,Month,Month Name,Day,Weekday,Is Weekend
2014-01-03,1,2014,1,1,January,3,Friday,False
2014-01-04,2,2014,1,1,January,4,Saturday,True
2014-01-05,3,2014,1,1,January,5,Sunday,True
2014-01-06,4,2014,1,1,January,6,Monday,False
2014-01-07,5,2014,1,1,January,7,Tuesday,False
2014-01-08,6,2014,1,1,January,8,Wednesday,False
2014-01-09,7,2014,1,1,January,9,Thursday,False
2014-01-10,8,2014,1,1,January,10,Friday,False
2014-01-11,9,2014,1,1,January,11,Saturday,True
2014-01-12,10,2014,1,1,January,12,Sunday,True
2014-01-13,11,2014,1,1,January,13,Monday,False
2014-01-14,12,2014,1,1,January,14,Tuesday,False
2014-01-15,13,2014,1,1,January,15,Wednesday,False
2014-01-16,14,2014,1,1,January,16,Thursday,False
2014-01-17,15,2014,1,1,January,17,Friday,False
2014-01-18,16,2014,1,1,January,18,Saturday,True
2014-01-19,17,2014,1,1,January,19,Sunday,True
2014-01-20,18,2014,1,1,January,20,Monday,False
2014-01-21,19,2014,1,1,January,21,Tuesday,False
2014-01-23,20,2014,1,1,January,23,Thursday,False
2014-01-25,21,2014,1,1,January,25,Saturday,True
2014-01-26,22,2014,1,1,January,26,Sunday,True
2014-01-27,23,2014,1,1,January,27,Monday,False
2014-01-28,24,2014,1,1,January,28,Tuesday,False
2014-01-29,25,2014,1,1,January,29,Wednesday,False
2014-01-30,26,2014,1,1,January,30,Thursday,False
2014-01-31,27,2014,1,1,January,31,Friday,False
2014-02-01,28,2014,1,2,February,1,Saturday,True
2014-02-02,29,2014,1,2,February,2,Sunday,True
2014-02-03,30,2014,1,2,February,3,Monday,False
2014-02-04,31,2014,1,2,February,4,Tuesday,False
2014-02-06,32,2014,1,2,February,6,Thursday,False
2014-02-07,33,2014,1,2,February,7,Friday,False
2014-02-08,34,2014,1,2,February,8,Saturday,True
2014-02-09,35,2014,1,2,February,9,Sunday,True
2014-02-10,36,2014,1,2,February,10,Monday,False
