Row ID,Order ID,Customer ID,Product ID,Order Date ID,Ship Date ID,Location ID,Ship Mode ID,Sales,Quantity,Discount,Profit,Shipping Duration
1,CA-2016-152156,CG-12520,FUR-BO-10001798,1011,1014,1,1,261.96,2,0.0,41.9136,3
2,CA-2016-152156,CG-12520,FUR-CH-10000454,1011,1014,1,1,731.94,3,0.0,219.582,3
3,CA-2016-138688,DV-13045,OFF-LA-10000240,863,867,2,1,14.62,2,0.0,6.8714,4
4,US-2015-108966,SO-20335,FUR-TA-10000577,623,630,3,2,957.5775,5,0.45,-383.031,7
5,US-2015-108966,SO-20335,OFF-ST-10000760,623,630,3,2,22.368,2,0.2,2.5164,7
6,CA-2014-115812,BH-11710,FUR-FU-10001487,151,156,2,2,48.86,7,0.0,14.1694,5
7,CA-2014-115812,BH-11710,OFF-AR-10002833,151,156,2,2,7.28,4,0.0,1.9656,5
8,CA-2014-115812,BH-11710,TEC-PH-10002275,151,156,2,2,907.152,6,0.2,90.7152,5
9,CA-2014-115812,BH-11710,OFF-BI-10003910,151,156,2,2,18.504,3,0.2,5.7825,5
10,CA-2014-115812,BH-11710,OFF-AP-10002892,151,156,2,2,114.9,5,0.0,34.47,5
11,CA-2014-115812,BH-11710,FUR-TA-10001539,151,156,2,2,1706.184,9,0.2,85.3092,5
12,CA-2014-115812,BH-11710,TEC-PH-10002033,151,156,2,2,911.424,4,0.2,68.3568,5
13,CA-2017-114412,AA-10480,OFF-PA-10002365,1169,1174,4,2,15.552,3,0.2,5.4432,5
14,CA-2016-161389,IM-15070,OFF-BI-10003656,1038,1043,5,2,407.976,3,0.2,132.5922,5
15,US-2015-118983,HP-14815,OFF-AP-10002311,664,668,6,2,68.81,5,0.8,-123.858,4
16,US-2015-118983,HP-14815,OFF-BI-10000756,664,668,6,2,2.544,3,0.8,-3.816,4
17,CA-2014-105893,PK-19075,OFF-ST-10004186,304,311,7,2,665.88,6,0.0,13.3176,7
18,CA-2014-167164,AG-10270,OFF-ST-10000107,124,126,8,1,55.5,2,0.0,9.99,2
19,CA-2014-143336,ZD-21925,OFF-AR-10003056,228,233,9,1,8.56,2,0.0,2.4824,5
20,CA-2014-143336,ZD-21925,TEC-PH-10001949,228,233,9,1,213.48,3,0.2,16.011,5
21,CA-2014-143336,ZD-21925,OFF-BI-10002215,228,233,9,1,22.72,4,0.2,7.384,5
22,CA-2016-137330,KB-16585,OFF-AR-10000246,1042,1046,10,2,19.46,7,0.0,5.0596,4
23,CA-2016-137330,KB-16585,OFF-AP-10001492,1042,1046,10,2,60.34,7,0.0,15.6884,4
24,US-2017-156909,SF-20065,FUR-CH-10002774,1261,1263,11,1,71.372,2,0.3,-1.0196,2
25,CA-2015-106320,EB-13870,FUR-TA-10000577,607,612,12,2,1044.63,3,0.0,240.2649,5
26,CA-2016-121755,EH-13945,OFF-BI-10001634,718,721,2,1,11.648,2,0.2,4.2224,4
27,CA-2016-121755,EH-13945,TEC-AC-10003027,718,721,2,1,90.57,3,0.0,11.7741,4
28,US-2015-150630,TB-21520,FUR-BO-10004834,599,603,11,2,3083.43,7,0.5,-1665.0522,4
29,US-2015-150630,TB-21520,OFF-BI-10000474,599,603,11,2,9.618,2,0.7,-7.0532,4
30,US-2015-150630,TB-21520,FUR-FU-10004848,599,603,11,2,124.2,3,0.2,15.525,4
31,US-2015-150630,TB-21520,OFF-EN-10001509,599,603,11,2,3.264,2,0.2,1.1016,4
32,US-2015-150630,TB-21520,OFF-AR-10004042,599,603,11,2,86.304,6,0.2,9.7092,4
33,US-2015-150630,TB-21520,OFF-BI-10001525,599,603,11,2,6.858,6,0.7,-5.715,4
34,US-2015-150630,TB-21520,OFF-AR-10001683,599,603,11,2,15.76,2,0.2,3.546,4
35,CA-2017-107727,MA-17560,OFF-PA-10000249,1356,1360,13,1,29.472,3,0.2,9.9468,4
36,CA-2016-117590,GH-14485,TEC-PH-10004977,1041,1043,14,3,1097.544,7,0.2,123.4737,2
37,CA-2016-117590,GH-14485,FUR-FU-10003664,1041,1043,14,3,190.92,5,0.6,-147.963,2
38,CA-2015-117415,SN-20710,OFF-EN-10002986,699,703,13,2,113.328,9,0.2,35.415,4
39,CA-2015-117415,SN-20710,FUR-BO-10002545,699,703,13,2,532.3992,3,0.32,-46.9764,4
40,CA-2015-117415,SN-20710,FUR-CH-10004218,699,703,13,2,212.058,3,0.3,-15.147,4
41,CA-2015-117415,SN-20710,TEC-PH-10000486,699,703,13,2,371.168,4,0.2,41.7564,4
42,CA-2017-120999,LC-16930,TEC-PH-10004093,1317,1322,15,2,147.168,4,0.2,16.5564,5
43,CA-2016-101343,RA-19885,OFF-ST-10003479,897,902,2,2,77.88,2,0.0,3.894,5
44,CA-2017-139619,ES-14080,OFF-ST-10003282,1326,1330,16,2,95.616,2,0.2,9.5616,4
45,CA-2016-118255,ON-18715,TEC-AC-10000171,771,773,17,3,45.98,2,0.0,19.7714,2
46,CA-2016-118255,ON-18715,OFF-BI-10003291,771,773,17,3,17.46,2,0.0,8.2062,2
47,CA-2014-146703,PO-18865,OFF-ST-10001713,282,287,18,1,211.96,4,0.0,8.4784,5
48,CA-2016-169194,LH-16900,TEC-AC-10002167,871,876,19,2,45.0,3,0.0,4.95,5
49,CA-2016-169194,LH-16900,TEC-PH-10003988,871,876,19,2,21.8,2,0.0,6.104,5
50,CA-2015-115742,DP-13000,OFF-BI-10004410,451,455,20,2,38.22,6,0.0,17.9634,4
51,CA-2015-115742,DP-13000,OFF-LA-10002762,451,455,20,2,75.18,6,0.0,35.3346,4
52,CA-2015-115742,DP-13000,FUR-FU-10001706,451,455,20,2,6.16,2,0.0,2.9568,4
53,CA-2015-115742,DP-13000,FUR-CH-10003061,451,455,20,2,89.99,1,0.0,17.0981,4
54,CA-2016-105816,JM-15265,OFF-FA-10000304,1044,1050,21,2,15.26,7,0.0,6.2566,6
55,CA-2016-105816,JM-15265,TEC-PH-10002447,1044,1050,21,2,1029.95,5,0.0,298.6855,6
56,CA-2016-111682,TB-21055,OFF-ST-10000604,868,869,22,3,208.56,6,0.0,52.14,1
57,CA-2016-111682,TB-21055,OFF-PA-10001569,868,869,22,3,32.4,5,0.0,15.552,1
58,CA-2016-111682,TB-21055,FUR-CH-10003968,868,869,22,3,319.41,5,0.1,7.098,1
59,CA-2016-111682,TB-21055,OFF-PA-10000587,868,869,22,3,14.56,2,0.0,6.9888,1
60,CA-2016-111682,TB-21055,TEC-AC-10002167,868,869,22,3,30.0,2,0.0,3.3,1
61,CA-2016-111682,TB-21055,OFF-BI-10001460,868,869,22,3,48.48,4,0.2,16.362,1
62,CA-2016-111682,TB-21055,OFF-AR-10001868,868,869,22,3,1.68,1,0.0,0.84,1
63,CA-2015-135545,KM-16720,TEC-AC-10004633,666,672,2,2,13.98,2,0.0,6.1512,6
64,CA-2015-135545,KM-16720,OFF-BI-10001078,666,672,2,2,25.824,6,0.2,9.3612,6
65,CA-2015-135545,KM-16720,OFF-PA-10003892,666,672,2,2,146.73,3,0.0,68.9631,6
66,CA-2015-135545,KM-16720,FUR-FU-10000397,666,672,2,2,79.76,4,0.0,22.3328,6
67,US-2015-164175,PS-18970,FUR-CH-10001146,463,468,23,2,213.115,5,0.3,-15.2225,5
68,CA-2014-106376,BS-11590,OFF-AR-10002671,328,333,24,2,1113.024,8,0.2,111.3024,5
69,CA-2014-106376,BS-11590,TEC-PH-10002726,328,333,24,2,167.968,4,0.2,62.988,5
70,CA-2016-119823,KD-16270,OFF-PA-10000482,856,858,25,3,75.88,2,0.0,35.6636,2
71,CA-2016-106075,HM-14980,OFF-BI-10004654,960,965,21,2,4.616,1,0.2,1.731,5
72,CA-2017-114440,TB-21520,OFF-PA-10004675,1321,1324,26,1,19.05,3,0.0,8.763,3
73,US-2015-134026,JE-15745,FUR-CH-10000513,459,465,27,2,831.936,8,0.2,-114.3912,6
74,US-2015-134026,JE-15745,FUR-FU-10003708,459,465,27,2,97.04,2,0.2,1.213,6
75,US-2015-134026,JE-15745,OFF-ST-10004123,459,465,27,2,72.784,1,0.2,-18.196,6
76,US-2017-118038,KB-16600,OFF-BI-10004182,1407,1409,13,3,1.248,3,0.8,-1.9344,2
77,US-2017-118038,KB-16600,FUR-FU-10000260,1407,1409,13,3,9.708,3,0.6,-5.8248,2
78,US-2017-118038,KB-16600,OFF-ST-10000615,1407,1409,13,3,27.24,3,0.2,2.724,2
79,US-2014-147606,JE-15745,FUR-FU-10003194,319,324,13,1,19.3,5,0.6,-14.475,5
80,CA-2016-127208,SC-20770,OFF-AP-10002118,863,866,28,3,208.16,1,0.0,56.2032,3
81,CA-2016-127208,SC-20770,OFF-BI-10002309,863,866,28,3,16.74,3,0.0,8.0352,3
82,CA-2014-139451,DN-13690,OFF-AR-10002053,274,278,9,2,14.9,5,0.0,4.172,4
83,CA-2014-139451,DN-13690,OFF-ST-10002370,274,278,9,2,21.39,1,0.0,6.2031,4
84,CA-2015-149734,JC-16105,OFF-EN-10000927,585,590,29,2,200.984,7,0.2,62.8075,5
85,US-2017-119662,CS-12400,OFF-ST-10003656,1381,1384,23,3,230.376,3,0.2,-48.9549,3
86,CA-2017-140088,PO-18865,FUR-CH-10000863,1212,1214,30,1,301.96,2,0.0,33.2156,2
87,CA-2017-155558,PG-18895,TEC-AC-10001998,1363,1370,31,2,19.99,1,0.0,6.7966,7
88,CA-2017-155558,PG-18895,OFF-LA-10000134,1363,1370,31,2,6.16,2,0.0,2.9568,7
89,CA-2016-159695,GM-14455,OFF-ST-10003442,796,801,13,1,158.368,7,0.2,13.8572,5
90,CA-2016-109806,JS-15685,OFF-AR-10004930,959,964,2,2,20.1,3,0.0,6.633,5
91,CA-2016-109806,JS-15685,TEC-PH-10004093,959,964,2,2,73.584,2,0.2,8.2782,5
92,CA-2016-109806,JS-15685,OFF-PA-10000304,959,964,2,2,6.48,1,0.0,3.1104,5
93,CA-2015-149587,KB-16315,OFF-PA-10003177,379,383,32,1,12.96,2,0.0,6.2208,5
94,CA-2015-149587,KB-16315,FUR-FU-10003799,379,383,32,1,53.34,3,0.0,16.5354,5
95,CA-2015-149587,KB-16315,OFF-BI-10002852,379,383,32,1,32.96,2,0.0,16.1504,5
96,US-2017-109484,RB-19705,OFF-BI-10004738,1374,1380,33,2,5.682,1,0.7,-3.788,6
97,CA-2017-161018,PN-18775,FUR-FU-10000629,1377,1379,21,1,96.53,7,0.0,40.5426,2
98,CA-2017-157833,KD-16345,OFF-BI-10001721,1232,1235,9,3,51.312,3,0.2,17.9592,3
99,CA-2016-149223,ER-13855,OFF-AP-10000358,948,953,34,2,77.88,6,0.0,22.5852,5
100,CA-2016-158568,RB-19465,OFF-PA-10003256,940,944,23,2,64.624,7,0.2,22.6184,4
101,CA-2016-158568,RB-19465,TEC-AC-10001767,940,944,23,2,95.976,3,0.2,-10.7973,4
102,CA-2016-158568,RB-19465,OFF-BI-10002609,940,944,23,2,1.788,3,0.8,-3.0396,4
103,CA-2016-129903,GZ-14470,OFF-PA-10004040,1034,1037,31,1,23.92,4,0.0,11.7208,3
104,US-2015-156867,LC-16870,TEC-AC-10001552,655,659,35,2,238.896,6,0.2,-26.8758,4
105,US-2015-156867,LC-16870,FUR-FU-10004006,655,659,35,2,102.36,3,0.2,-3.8385,4
106,US-2015-156867,LC-16870,OFF-BI-10002794,655,659,35,2,36.882,3,0.7,-25.8174,4
107,CA-2017-119004,JM-15250,TEC-AC-10003499,1391,1396,36,2,74.112,8,0.2,17.6016,5
108,CA-2017-119004,JM-15250,TEC-PH-10002844,1391,1396,36,2,27.992,1,0.2,2.0994,5
109,CA-2017-119004,JM-15250,OFF-AR-10000390,1391,1396,36,2,3.304,1,0.2,1.0738,5
110,CA-2015-129476,PA-19060,TEC-AC-10000844,627,632,37,2,339.96,5,0.2,67.992,5
111,CA-2017-146780,CV-12805,FUR-FU-10001934,1423,1428,21,2,41.96,2,0.0,10.9096,5
112,CA-2016-128867,CL-12565,OFF-AR-10000380,1006,1013,38,2,75.96,2,0.0,22.788,7
113,CA-2016-128867,CL-12565,OFF-BI-10003981,1006,1013,38,2,27.24,6,0.0,13.3476,7
114,CA-2014-115259,RC-19960,OFF-FA-10000621,226,228,39,1,40.096,14,0.2,14.5348,2
115,CA-2014-115259,RC-19960,OFF-EN-10002600,226,228,39,1,4.72,2,0.2,1.652,2
116,CA-2014-115259,RC-19960,OFF-PA-10004965,226,228,39,1,23.976,3,0.2,7.4925,2
117,CA-2014-115259,RC-19960,OFF-EN-10002504,226,228,39,1,130.464,6,0.2,44.0316,2
118,CA-2015-110457,DK-13090,FUR-TA-10001768,405,409,5,2,787.53,3,0.0,165.3813,4
119,US-2015-136476,GG-14650,OFF-BI-10003650,438,443,40,2,157.794,1,0.7,-115.7156,5
120,CA-2016-103730,SC-20725,FUR-FU-10002157,863,866,41,3,47.04,3,0.0,18.3456,3
121,CA-2016-103730,SC-20725,OFF-BI-10003910,863,866,41,3,30.84,4,0.0,13.878,3
122,CA-2016-103730,SC-20725,OFF-ST-10000777,863,866,41,3,226.56,6,0.0,63.4368,3
123,CA-2016-103730,SC-20725,OFF-EN-10002500,863,866,41,3,115.02,9,0.0,51.759,3
124,CA-2016-103730,SC-20725,TEC-PH-10003875,863,866,41,3,68.04,7,0.0,19.7316,3
125,US-2014-152030,AD-10180,FUR-CH-10004063,349,351,13,1,600.558,3,0.3,-8.5794,2
126,US-2014-134614,PF-19165,FUR-TA-10004534,252,257,42,2,617.7,6,0.5,-407.682,5
127,US-2017-107272,TS-21610,OFF-BI-10003274,1373,1380,43,2,2.388,2,0.7,-1.8308,7
128,US-2017-107272,TS-21610,OFF-ST-10002974,1373,1380,43,2,243.992,7,0.2,30.499,7
129,US-2016-125969,LS-16975,FUR-CH-10001146,1009,1013,2,1,81.424,2,0.2,-9.1602,4
130,US-2016-125969,LS-16975,FUR-FU-10003773,1009,1013,2,1,238.56,3,0.0,26.2416,4
